state,keyword,candidate_title,candidate_url,extracted_title,identifier,status,is_real_legal_source,matches_keyword,match_reason,match_terms,review_candidate,review_terms
WA,community land trust,Title 43,https://app.leg.wa.gov/rcw/default.aspx?cite=43,Title 43 RCW:,Chapter 2,Unknown,True,True,"concept_combo:affordable housing, workforce housing",affordable housing; workforce housing,False,
WA,community land trust,HTML,https://app.leg.wa.gov/rcw/default.aspx?cite=43.185A&full=true,Chapter 43.185A RCW:,Chapter 43,Unknown,True,False,,affordable housing,False,
WA,community land trust,PDF,https://app.leg.wa.gov/rcw/default.aspx?cite=43.185A&full=true&pdf=true,,S6,Unknown,True,False,,,False,
WA,community land trust,HTML,http://app.leg.wa.gov/RCW/default.aspx?cite=43.185A.005,RCW 43.185A.005:,Wash. Rev. Code § 43.185A.005,Unknown,True,False,,affordable housing,False,
WA,community land trust,PDF,http://app.leg.wa.gov/RCW/default.aspx?cite=43.185A.005&pdf=true,,Wash. Rev. Code § 43.185A.005,Unknown,True,False,,,False,
WA,community land trust,HTML,http://app.leg.wa.gov/RCW/default.aspx?cite=43.185A.010,RCW 43.185A.010:,Wash. Rev. Code § 43.185A.010,Unknown,True,False,,affordable housing,False,
WA,community land trust,PDF,http://app.leg.wa.gov/RCW/default.aspx?cite=43.185A.010&pdf=true,,Wash. Rev. Code § 43.185A.010,Unknown,True,False,,,False,
WA,community land trust,HTML,http://app.leg.wa.gov/RCW/default.aspx?cite=43.185A.020,RCW 43.185A.020:,Wash. Rev. Code § 43.185A.020,Unknown,True,False,,affordable housing,False,
WA,community land trust,PDF,http://app.leg.wa.gov/RCW/default.aspx?cite=43.185A.020&pdf=true,,Wash. Rev. Code § 43.185A.020,Unknown,True,False,,,False,
WA,community land trust,HTML,http://app.leg.wa.gov/RCW/default.aspx?cite=43.185A.040,RCW 43.185A.040:,Wash. Rev. Code § 43.185A.040,Unknown,True,False,,,False,
WA,community land trust,PDF,http://app.leg.wa.gov/RCW/default.aspx?cite=43.185A.040&pdf=true,,Wash. Rev. Code § 43.185A.040,Unknown,True,False,,,False,
WA,community land trust,HTML,http://app.leg.wa.gov/RCW/default.aspx?cite=43.185A.060,RCW 43.185A.060:,Wash. Rev. Code § 43.185A.060,Unknown,True,False,,affordable housing,False,
WA,community land trust,PDF,http://app.leg.wa.gov/RCW/default.aspx?cite=43.185A.060&pdf=true,,Wash. Rev. Code § 43.185A.060,Unknown,True,False,,,False,
WA,community land trust,HTML,http://app.leg.wa.gov/RCW/default.aspx?cite=43.185A.070,RCW 43.185A.070:,Wash. Rev. Code § 43.185A.070,Unknown,True,False,,affordable housing,False,
WA,community land trust,PDF,http://app.leg.wa.gov/RCW/default.aspx?cite=43.185A.070&pdf=true,,Wash. Rev. Code § 43.185A.070,Unknown,True,False,,,False,
WA,community land trust,HTML,http://app.leg.wa.gov/RCW/default.aspx?cite=43.185A.130,RCW 43.185A.130:,Wash. Rev. Code § 43.185A.130,Unknown,True,False,,,False,
WA,community land trust,PDF,http://app.leg.wa.gov/RCW/default.aspx?cite=43.185A.130&pdf=true,,Wash. Rev. Code § 43.185A.130,Unknown,True,False,,,False,
WA,community land trust,HTML,http://app.leg.wa.gov/RCW/default.aspx?cite=43.185A.140,RCW 43.185A.140:,Wash. Rev. Code § 43.185A.140,Unknown,True,False,,affordable housing,False,
WA,community land trust,PDF,http://app.leg.wa.gov/RCW/default.aspx?cite=43.185A.140&pdf=true,,Wash. Rev. Code § 43.185A.140,Unknown,True,False,,,False,
WA,community land trust,HTML,http://app.leg.wa.gov/RCW/default.aspx?cite=43.185A.150,RCW 43.185A.150:,Wash. Rev. Code § 43.185A.150,Unknown,True,False,,affordable housing,False,
WA,community land trust,PDF,http://app.leg.wa.gov/RCW/default.aspx?cite=43.185A.150&pdf=true,,Wash. Rev. Code § 43.185A.150,Unknown,True,False,,,False,
WA,community land trust,HTML,http://app.leg.wa.gov/RCW/default.aspx?cite=43.185A.160,RCW 43.185A.160:,Wash. Rev. Code § 43.185A.160,Unknown,True,False,,,False,
