state,keyword,candidate_title,candidate_url,extracted_title,identifier,status,is_real_legal_source,matches_keyword,match_reason,match_terms,review_candidate,review_terms,error
AR,community land trust,Search by Range,https://arkleg.state.ar.us/Bills/SearchByRange?ddBienniumSession=2025%2F2025R,,,,False,False,,,False,,name 'title' is not defined
AR,community land trust,Advanced Search,https://arkleg.state.ar.us/Bills/Search?ddBienniumSession=2025%2F2025R,,,,False,False,,,False,,name 'title' is not defined
AR,community land trust,Recent Activities,https://arkleg.state.ar.us/Bills/RecentActivities?ddBienniumSession=2025%2F2025R,,,,False,False,,,False,,name 'title' is not defined
AR,community land trust,Recently Filed,https://arkleg.state.ar.us/Bills/RecentlyFiled?ddBienniumSession=2025%2F2025R,,,,False,False,,,False,,name 'title' is not defined
AR,community land trust,Personalized Bill Tracking,https://arkleg.state.ar.us/Bills/Tracking?ddBienniumSession=2025%2F2025R,,,,False,False,,,False,,name 'title' is not defined
AR,community land trust,Bills Returned from Committee,https://arkleg.state.ar.us/Bills/ReturnedFromCommittee?ddBienniumSession=2025%2F2025R,,,,False,False,,,False,,name 'title' is not defined
AR,community land trust,Bill Conflicts Report,https://arkleg.state.ar.us/Bills/ConflictsReport?ddBienniumSession=2025%2F2025R,,,,False,False,,,False,,name 'title' is not defined
AR,community land trust,Legislators,https://arkleg.state.ar.us/Bills/ViewBills?by=desc&ddBienniumSession=2025/2025R&sort=MeasureNo&type=HB#colNavLegislators,,,,False,False,,,False,,name 'title' is not defined
AR,community land trust,Committees,https://arkleg.state.ar.us/Bills/ViewBills?by=desc&ddBienniumSession=2025/2025R&sort=MeasureNo&type=HB#colNavCommittees,,,,False,False,,,False,,name 'title' is not defined
AR,community land trust,Acts,https://arkleg.state.ar.us/Bills/ViewBills?by=desc&ddBienniumSession=2025/2025R&sort=MeasureNo&type=HB#colNavActs,,,,False,False,,,False,,name 'title' is not defined
AR,community land trust,Bills,https://arkleg.state.ar.us/Bills/ViewBills?by=desc&ddBienniumSession=2025/2025R&sort=MeasureNo&type=HB#colNavBills,,,,False,False,,,False,,name 'title' is not defined
AR,community land trust,Calendars,https://arkleg.state.ar.us/Bills/ViewBills?by=desc&ddBienniumSession=2025/2025R&sort=MeasureNo&type=HB#colNavCalendars,,,,False,False,,,False,,name 'title' is not defined
AR,community land trust,Arkansas Law,https://arkleg.state.ar.us/Bills/ViewBills?by=desc&ddBienniumSession=2025/2025R&sort=MeasureNo&type=HB#colNavArkansasLaw,,,,False,False,,,False,,name 'title' is not defined
AR,community land trust,Bill Tracking,https://arkleg.state.ar.us/Bills/Tracking,,,,False,False,,,False,,name 'title' is not defined
AR,community land trust,,https://arkleg.state.ar.us/Bills/ViewBills?sort=MeasureNo&by=asc&type=HB&start=0&ddBienniumSession=2025%2F2025R#SearchResults,,,,False,False,,,False,,name 'title' is not defined
AR,community land trust,,https://arkleg.state.ar.us/Bills/ViewBills?sort=MeasureNo&by=desc&type=HB&start=0&ddBienniumSession=2025%2F2025R#SearchResults,,,,False,False,,,False,,name 'title' is not defined
AR,community land trust,,https://arkleg.state.ar.us/Bills/ViewBills?sort=Sponsor&by=asc&type=HB&start=0&ddBienniumSession=2025%2F2025R#SearchResults,,,,False,False,,,False,,name 'title' is not defined
AR,community land trust,,https://arkleg.state.ar.us/Bills/ViewBills?sort=Sponsor&by=desc&type=HB&start=0&ddBienniumSession=2025%2F2025R#SearchResults,,,,False,False,,,False,,name 'title' is not defined
AR,community land trust,HB2005,https://arkleg.state.ar.us/Bills/Detail?id=HB2005&ddBienniumSession=2025%2F2025R,,,,False,False,,,False,,name 'title' is not defined
AR,community land trust,Status,https://arkleg.state.ar.us/Bills/Detail?id=HB2005&ddBienniumSession=2025%2F2025R#status,,,,False,False,,,False,,name 'title' is not defined
AR,community land trust,HB2004,https://arkleg.state.ar.us/Bills/Detail?id=HB2004&ddBienniumSession=2025%2F2025R,,,,False,False,,,False,,name 'title' is not defined
AR,community land trust,Status,https://arkleg.state.ar.us/Bills/Detail?id=HB2004&ddBienniumSession=2025%2F2025R#status,,,,False,False,,,False,,name 'title' is not defined
AR,community land trust,HB2003,https://arkleg.state.ar.us/Bills/Detail?id=HB2003&ddBienniumSession=2025%2F2025R,,,,False,False,,,False,,name 'title' is not defined
AR,community land trust,Status,https://arkleg.state.ar.us/Bills/Detail?id=HB2003&ddBienniumSession=2025%2F2025R#status,,,,False,False,,,False,,name 'title' is not defined
AR,community land trust,HB2002,https://arkleg.state.ar.us/Bills/Detail?id=HB2002&ddBienniumSession=2025%2F2025R,,,,False,False,,,False,,name 'title' is not defined
AR,community land trust,Status,https://arkleg.state.ar.us/Bills/Detail?id=HB2002&ddBienniumSession=2025%2F2025R#status,,,,False,False,,,False,,name 'title' is not defined
AR,community land trust,HB2001,https://arkleg.state.ar.us/Bills/Detail?id=HB2001&ddBienniumSession=2025%2F2025R,,,,False,False,,,False,,name 'title' is not defined
AR,community land trust,Status,https://arkleg.state.ar.us/Bills/Detail?id=HB2001&ddBienniumSession=2025%2F2025R#status,,,,False,False,,,False,,name 'title' is not defined
AR,community land trust,HB2000,https://arkleg.state.ar.us/Bills/Detail?id=HB2000&ddBienniumSession=2025%2F2025R,,,,False,False,,,False,,name 'title' is not defined
AR,community land trust,Status,https://arkleg.state.ar.us/Bills/Detail?id=HB2000&ddBienniumSession=2025%2F2025R#status,,,,False,False,,,False,,name 'title' is not defined
AR,community land trust,HB1999,https://arkleg.state.ar.us/Bills/Detail?id=HB1999&ddBienniumSession=2025%2F2025R,,,,False,False,,,False,,name 'title' is not defined
AR,community land trust,Status,https://arkleg.state.ar.us/Bills/Detail?id=HB1999&ddBienniumSession=2025%2F2025R#status,,,,False,False,,,False,,name 'title' is not defined
AR,community land trust,HB1998,https://arkleg.state.ar.us/Bills/Detail?id=HB1998&ddBienniumSession=2025%2F2025R,,,,False,False,,,False,,name 'title' is not defined
AR,community land trust,Status,https://arkleg.state.ar.us/Bills/Detail?id=HB1998&ddBienniumSession=2025%2F2025R#status,,,,False,False,,,False,,name 'title' is not defined
AR,community land trust,HB1997,https://arkleg.state.ar.us/Bills/Detail?id=HB1997&ddBienniumSession=2025%2F2025R,,,,False,False,,,False,,name 'title' is not defined
AR,community land trust,Status,https://arkleg.state.ar.us/Bills/Detail?id=HB1997&ddBienniumSession=2025%2F2025R#status,,,,False,False,,,False,,name 'title' is not defined
AR,community land trust,HB1996,https://arkleg.state.ar.us/Bills/Detail?id=HB1996&ddBienniumSession=2025%2F2025R,,,,False,False,,,False,,name 'title' is not defined
AR,community land trust,Status,https://arkleg.state.ar.us/Bills/Detail?id=HB1996&ddBienniumSession=2025%2F2025R#status,,,,False,False,,,False,,name 'title' is not defined
AR,community land trust,HB1995,https://arkleg.state.ar.us/Bills/Detail?id=HB1995&ddBienniumSession=2025%2F2025R,,,,False,False,,,False,,name 'title' is not defined
AR,community land trust,Status,https://arkleg.state.ar.us/Bills/Detail?id=HB1995&ddBienniumSession=2025%2F2025R#status,,,,False,False,,,False,,name 'title' is not defined
AR,community land trust,HB1994,https://arkleg.state.ar.us/Bills/Detail?id=HB1994&ddBienniumSession=2025%2F2025R,,,,False,False,,,False,,name 'title' is not defined
AR,community land trust,Status,https://arkleg.state.ar.us/Bills/Detail?id=HB1994&ddBienniumSession=2025%2F2025R#status,,,,False,False,,,False,,name 'title' is not defined
AR,community land trust,HB1993,https://arkleg.state.ar.us/Bills/Detail?id=HB1993&ddBienniumSession=2025%2F2025R,,,,False,False,,,False,,name 'title' is not defined
AR,community land trust,Status,https://arkleg.state.ar.us/Bills/Detail?id=HB1993&ddBienniumSession=2025%2F2025R#status,,,,False,False,,,False,,name 'title' is not defined
AR,community land trust,HB1992,https://arkleg.state.ar.us/Bills/Detail?id=HB1992&ddBienniumSession=2025%2F2025R,,,,False,False,,,False,,name 'title' is not defined
AR,community land trust,Status,https://arkleg.state.ar.us/Bills/Detail?id=HB1992&ddBienniumSession=2025%2F2025R#status,,,,False,False,,,False,,name 'title' is not defined
AR,community land trust,HB1991,https://arkleg.state.ar.us/Bills/Detail?id=HB1991&ddBienniumSession=2025%2F2025R,,,,False,False,,,False,,name 'title' is not defined
AR,community land trust,Status,https://arkleg.state.ar.us/Bills/Detail?id=HB1991&ddBienniumSession=2025%2F2025R#status,,,,False,False,,,False,,name 'title' is not defined
AR,community land trust,HB1990,https://arkleg.state.ar.us/Bills/Detail?id=HB1990&ddBienniumSession=2025%2F2025R,,,,False,False,,,False,,name 'title' is not defined
AR,community land trust,Status,https://arkleg.state.ar.us/Bills/Detail?id=HB1990&ddBienniumSession=2025%2F2025R#status,,,,False,False,,,False,,name 'title' is not defined
AR,community land trust,HB1989,https://arkleg.state.ar.us/Bills/Detail?id=HB1989&ddBienniumSession=2025%2F2025R,,,,False,False,,,False,,name 'title' is not defined
AR,community land trust,Status,https://arkleg.state.ar.us/Bills/Detail?id=HB1989&ddBienniumSession=2025%2F2025R#status,,,,False,False,,,False,,name 'title' is not defined
AR,community land trust,HB1988,https://arkleg.state.ar.us/Bills/Detail?id=HB1988&ddBienniumSession=2025%2F2025R,,,,False,False,,,False,,name 'title' is not defined
AR,community land trust,Status,https://arkleg.state.ar.us/Bills/Detail?id=HB1988&ddBienniumSession=2025%2F2025R#status,,,,False,False,,,False,,name 'title' is not defined
AR,community land trust,HB1987,https://arkleg.state.ar.us/Bills/Detail?id=HB1987&ddBienniumSession=2025%2F2025R,,,,False,False,,,False,,name 'title' is not defined
AR,community land trust,Status,https://arkleg.state.ar.us/Bills/Detail?id=HB1987&ddBienniumSession=2025%2F2025R#status,,,,False,False,,,False,,name 'title' is not defined
AR,community land trust,HB1986,https://arkleg.state.ar.us/Bills/Detail?id=HB1986&ddBienniumSession=2025%2F2025R,,,,False,False,,,False,,name 'title' is not defined
AR,community land trust,Status,https://arkleg.state.ar.us/Bills/Detail?id=HB1986&ddBienniumSession=2025%2F2025R#status,,,,False,False,,,False,,name 'title' is not defined
AR,community land trust,2,https://arkleg.state.ar.us/Bills/ViewBills?start=20&type=HB&sort=MeasureNo&by=desc&ddBienniumSession=2025%2F2025R#SearchResults,,,,False,False,,,False,,name 'title' is not defined
AR,community land trust,3,https://arkleg.state.ar.us/Bills/ViewBills?start=40&type=HB&sort=MeasureNo&by=desc&ddBienniumSession=2025%2F2025R#SearchResults,,,,False,False,,,False,,name 'title' is not defined
