state,keyword,candidate_title,candidate_url,extracted_title,identifier,status,is_real_legal_source,matches_keyword,match_reason,match_terms,review_candidate,review_terms,error
AR,community land trust,HB2005,https://arkleg.state.ar.us/Bills/Detail?id=HB2005&ddBienniumSession=2025%2F2025R,,,,False,False,,,False,,name 'title' is not defined
AR,community land trust,HB2004,https://arkleg.state.ar.us/Bills/Detail?id=HB2004&ddBienniumSession=2025%2F2025R,,,,False,False,,,False,,name 'title' is not defined
AR,community land trust,HB2003,https://arkleg.state.ar.us/Bills/Detail?id=HB2003&ddBienniumSession=2025%2F2025R,,,,False,False,,,False,,name 'title' is not defined
AR,community land trust,HB2002,https://arkleg.state.ar.us/Bills/Detail?id=HB2002&ddBienniumSession=2025%2F2025R,,,,False,False,,,False,,name 'title' is not defined
AR,community land trust,HB2001,https://arkleg.state.ar.us/Bills/Detail?id=HB2001&ddBienniumSession=2025%2F2025R,,,,False,False,,,False,,name 'title' is not defined
AR,community land trust,HB2000,https://arkleg.state.ar.us/Bills/Detail?id=HB2000&ddBienniumSession=2025%2F2025R,,,,False,False,,,False,,name 'title' is not defined
AR,community land trust,HB1999,https://arkleg.state.ar.us/Bills/Detail?id=HB1999&ddBienniumSession=2025%2F2025R,,,,False,False,,,False,,name 'title' is not defined
AR,community land trust,HB1998,https://arkleg.state.ar.us/Bills/Detail?id=HB1998&ddBienniumSession=2025%2F2025R,,,,False,False,,,False,,name 'title' is not defined
AR,community land trust,HB1997,https://arkleg.state.ar.us/Bills/Detail?id=HB1997&ddBienniumSession=2025%2F2025R,,,,False,False,,,False,,name 'title' is not defined
AR,community land trust,HB1996,https://arkleg.state.ar.us/Bills/Detail?id=HB1996&ddBienniumSession=2025%2F2025R,,,,False,False,,,False,,name 'title' is not defined
AR,community land trust,HB1995,https://arkleg.state.ar.us/Bills/Detail?id=HB1995&ddBienniumSession=2025%2F2025R,,,,False,False,,,False,,name 'title' is not defined
AR,community land trust,HB1994,https://arkleg.state.ar.us/Bills/Detail?id=HB1994&ddBienniumSession=2025%2F2025R,,,,False,False,,,False,,name 'title' is not defined
AR,community land trust,HB1993,https://arkleg.state.ar.us/Bills/Detail?id=HB1993&ddBienniumSession=2025%2F2025R,,,,False,False,,,False,,name 'title' is not defined
AR,community land trust,HB1992,https://arkleg.state.ar.us/Bills/Detail?id=HB1992&ddBienniumSession=2025%2F2025R,,,,False,False,,,False,,name 'title' is not defined
AR,community land trust,HB1991,https://arkleg.state.ar.us/Bills/Detail?id=HB1991&ddBienniumSession=2025%2F2025R,,,,False,False,,,False,,name 'title' is not defined
AR,community land trust,HB1990,https://arkleg.state.ar.us/Bills/Detail?id=HB1990&ddBienniumSession=2025%2F2025R,,,,False,False,,,False,,name 'title' is not defined
AR,community land trust,HB1989,https://arkleg.state.ar.us/Bills/Detail?id=HB1989&ddBienniumSession=2025%2F2025R,,,,False,False,,,False,,name 'title' is not defined
